id,carat,depth,table,x,y,z,price,city_Amsterdam,city_Antwerp,city_Dubai,city_Kimberly,city_Las Vegas,city_London,city_Luxembourg,city_Madrid,city_New York City,city_Paris,city_Surat,city_Tel Aviv,city_Zurich,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
34,0.27,62.3,54.0,4.18,4.21,2.61,219.15492489269985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,0.71,62.1,58.0,5.64,5.72,3.53,532.8238998284937,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,1.5,64.9,61.0,7.14,7.09,4.62,308.7845487071384,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
37,0.9,64.0,61.0,6.0,5.96,3.83,767.3926486709678,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38,0.71,60.5,59.0,5.81,5.79,3.51,384.3646924948884,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0.32,61.5,58.0,4.39,4.42,2.71,665.5874117093846,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40,0.23,62.4,59.0,3.91,3.94,2.45,588.6312531044276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1.21,61.8,57.0,6.81,6.86,4.23,366.99409896410526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,0.31,60.3,57.0,4.41,4.44,2.67,234.57839277094905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0.61,60.1,60.3,5.47,5.5,3.29,886.2909246135192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,1.31,62.0,53.0,7.06,7.07,4.37,815.8634139925097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,0.7,61.4,64.0,5.66,5.71,3.49,140.655457346053,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0.38,60.7,56.0,4.69,4.74,2.86,895.985231328659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0.3,62.0,55.0,4.34,4.31,2.68,797.0873996783564,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0.53,63.7,55.0,5.12,5.15,3.27,6.831953953380765,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
49,0.77,62.2,57.0,5.81,5.86,3.63,654.1020167150967,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50,0.34,61.1,56.0,4.52,4.55,2.77,723.6713957916089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
51,1.01,61.8,59.0,6.41,6.37,3.95,26.92445141443267,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
52,0.71,59.6,60.0,5.8,5.85,3.47,176.99086906277174,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,1.21,61.1,55.0,6.87,6.85,4.19,449.6538769296053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
54,1.21,61.5,57.0,6.93,6.88,4.25,375.4427793587303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,0.56,62.3,55.0,5.31,5.25,3.29,509.20142573504256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
56,1.58,61.0,58.0,7.56,7.49,4.59,116.5990430362076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
57,0.53,60.5,57.0,5.24,5.28,3.18,52.01165501027294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,1.02,63.3,59.0,6.32,6.42,4.03,281.8557551950501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,0.58,63.0,56.0,5.35,5.28,3.35,519.8754479210469,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0.54,61.1,56.0,5.22,5.26,3.2,487.1666152246696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
61,0.23,62.1,58.0,3.9,3.93,2.43,785.0764696033464,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,1.01,60.0,59.0,6.53,6.48,3.9,520.6741977149627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,0.31,60.4,56.0,4.43,4.38,2.66,653.7160643831767,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
64,1.52,61.9,58.0,7.37,7.42,4.58,392.6936367852328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
65,2.02,61.5,59.0,8.08,8.21,5.01,7.894183444002834,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66,0.36,60.7,58.0,4.62,4.57,2.79,190.9457438004409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,2.01,60.8,57.0,8.15,8.13,4.95,53.42224547943686,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
68,1.01,59.1,59.0,6.5,6.59,3.87,673.4367386095754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69,1.08,61.3,57.0,6.59,6.62,4.05,872.2031297794816,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
70,0.33,61.4,58.0,4.46,4.5,2.75,577.5748209594996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
71,0.31,62.2,58.0,4.34,4.38,2.71,120.2916680796584,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72,0.4,61.1,61.0,4.76,4.7,2.89,744.9731159809163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
73,0.48,62.1,56.0,5.01,5.04,3.12,825.8476368568258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,1.0,62.7,57.0,6.44,6.38,4.02,214.84810765366512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
75,0.51,62.7,55.0,5.08,5.1,3.19,331.50079337911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
76,1.2,61.1,59.0,6.81,6.87,4.18,360.9598072608439,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
77,1.51,63.3,56.0,7.3,7.26,4.61,459.6369334247474,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,0.71,61.6,53.0,5.79,5.73,3.55,19.201965640697427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
79,1.01,63.1,55.0,6.34,6.37,4.01,521.078297372338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
80,1.51,61.8,59.0,7.32,7.27,4.51,47.70286194218909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
81,0.58,61.2,57.0,5.36,5.39,3.29,539.5083560115635,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
82,1.62,61.7,56.0,7.53,7.57,4.66,618.1729271160698,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
83,1.02,62.8,59.0,6.44,6.39,4.03,885.483674088114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
84,0.34,61.8,56.0,4.47,4.49,2.77,416.02485719286886,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
85,1.51,63.7,61.0,7.15,7.11,4.54,363.3622054458874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
86,0.34,61.9,56.0,4.47,4.51,2.78,16.81504381969612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
87,1.7,61.9,60.0,7.57,7.61,4.7,688.0023037362407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
88,1.57,60.2,60.0,7.49,7.43,4.49,912.8312930909984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
89,1.75,60.3,61.0,7.74,7.82,4.69,167.92139127038408,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
90,1.13,61.8,57.0,6.71,6.68,4.14,581.1931103573315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
91,0.41,61.7,56.0,4.8,4.77,2.95,253.54131124380345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
92,0.34,62.1,54.0,4.48,4.5,2.79,789.7886933459616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
93,0.31,61.2,56.0,4.39,4.37,2.68,937.6985035669712,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
94,5.01,65.5,59.0,10.74,10.54,6.98,933.6428264306254,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
95,0.23,56.3,62.0,4.1,4.11,2.31,493.68704350974514,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
96,1.52,61.8,59.0,7.38,7.31,4.54,75.26761221920198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
97,2.04,62.8,57.0,8.09,8.02,5.06,63.07886247046834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
98,1.65,62.0,56.0,7.53,7.59,4.68,13.222876756537328,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
99,0.3,63.1,58.0,4.28,4.24,2.69,396.4200117030469,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100,0.67,60.4,65.0,5.67,5.65,3.42,954.9779506131096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
101,0.3,61.4,55.0,4.38,4.32,2.67,201.02516994578932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
102,0.34,61.9,56.0,4.49,4.46,2.77,746.3605787204816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
103,0.27,61.8,56.0,4.15,4.17,2.57,246.3608160363445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
104,0.5,61.5,54.0,5.13,5.15,3.16,644.459403621564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
105,0.51,61.7,58.0,5.12,5.15,3.17,582.9623686640749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
106,0.46,62.4,56.0,4.95,4.98,3.1,508.7472806256645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,0.32,61.6,55.0,4.44,4.42,2.73,398.855764258608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,0.48,60.6,62.0,5.06,5.0,3.05,542.900019363934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
109,0.31,61.6,55.0,4.36,4.37,2.69,72.34046854532062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
110,0.3,59.7,63.0,4.32,4.35,2.59,736.5057708433113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
111,0.43,61.0,58.0,4.92,4.89,2.99,75.31204462330365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
112,0.7,63.8,57.0,5.58,5.55,3.55,502.6619236906827,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
113,0.5,61.3,57.0,5.13,5.15,3.15,966.7560850699666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
114,0.6,65.7,55.0,5.31,5.23,3.46,277.16432513438,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
115,1.05,60.8,56.0,6.62,6.58,4.01,988.7796298554498,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
116,1.02,60.1,60.0,6.58,6.53,3.94,493.402878488615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
117,2.28,62.9,57.0,8.41,8.34,5.27,31.161314168482,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
118,0.27,59.5,56.0,4.2,4.31,2.53,375.6376165259531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119,2.0,62.0,57.0,8.03,8.1,5.0,740.276016612306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
120,0.5,64.6,58.0,5.01,4.99,3.23,47.20789356673916,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
121,0.5,62.0,58.0,5.03,5.1,3.14,716.6883195966258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
122,0.45,61.7,63.0,4.88,4.91,3.02,163.47992203906514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
123,0.26,60.1,60.0,4.1,4.15,2.48,819.0975780227336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
124,0.3,58.8,57.0,4.44,4.4,2.6,785.636674265361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,0.61,59.7,59.0,5.54,5.47,3.29,949.1889390229288,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
126,0.53,60.0,56.0,5.28,5.32,3.18,140.8520119333223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
127,1.25,60.9,60.0,6.93,6.97,4.23,977.8918887550414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
128,1.0,62.7,57.0,6.39,6.49,4.04,467.88611018715744,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
129,1.06,61.6,57.0,6.53,6.58,4.04,24.87259930386965,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
130,1.21,62.0,57.0,6.81,6.83,4.23,314.2191912526814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,1.0,57.8,61.0,6.54,6.58,3.79,253.2972254849053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
132,1.04,61.5,61.0,6.56,6.51,4.02,529.3144081219529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
133,0.36,61.7,56.0,4.57,4.6,2.83,795.994771436559,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
134,1.0,65.5,55.0,6.3,6.25,4.11,114.87122594442025,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
